Column,scientificName,decimalLatitude,decimalLongitude
184,Amphiprion ocellaris,1.224982,103.75245
185,Forcipiger flavissimus,21.249863,-157.7641
186,Forcipiger flavissimus,21.260692,-157.83757
187,Amphiprion ocellaris,1.214621,103.835031
188,Aetobatus narinari,-0.629131,-90.307613
189,Paracanthurus hepatus,-30.20432,153.26482
190,Aetobatus narinari,18.318436,-64.969657
191,Aetobatus narinari,18.304629,-64.874041
192,Forcipiger flavissimus,-33.986398,151.261437
193,Amphiprion ocellaris,13.707123,120.871943
194,Hippocampus kuda,13.692782,120.90945
195,Amphiprion ocellaris,13.658686,120.893408
196,Hippocampus kuda,13.664844,120.879495
197,Aetobatus narinari,10.576921,-85.670251
198,Forcipiger flavissimus,13.681606,120.892884
199,Amphiprion ocellaris,13.687862,120.887734
200,Forcipiger flavissimus,-17.47761,-149.94006
201,Forcipiger flavissimus,20.075375,-155.399111
202,Forcipiger flavissimus,20.068805,-155.393637
203,Forcipiger flavissimus,20.001223,-155.250042
204,Forcipiger flavissimus,20.059754,-155.372349
205,Forcipiger flavissimus,20.059754,-155.372349
206,Forcipiger flavissimus,19.982259,-155.222333
207,Forcipiger flavissimus,20.068805,-155.393637
208,Forcipiger flavissimus,20.510188,-156.629161
209,Forcipiger flavissimus,20.513914,-156.689214
210,Forcipiger flavissimus,20.51488,-156.604139
211,Forcipiger flavissimus,20.514606,-156.61668
212,Forcipiger flavissimus,20.510188,-156.629161
213,Forcipiger flavissimus,20.51488,-156.604139
214,Forcipiger flavissimus,20.504288,-156.657697
215,Forcipiger flavissimus,20.501113,-156.666899
216,Forcipiger flavissimus,21.040509,-156.840016
217,Forcipiger flavissimus,21.080359,-157.259525
218,Forcipiger flavissimus,21.037199,-156.859405
219,Forcipiger flavissimus,21.037199,-156.859405
220,Forcipiger flavissimus,21.045715,-156.93992
221,Forcipiger flavissimus,21.11935,-156.729256
222,Forcipiger flavissimus,21.11935,-156.729256
223,Aetobatus narinari,17.291883,-87.952255
224,Aetobatus narinari,18.16304,-67.27367
225,Aetobatus narinari,18.16637,-67.27632
226,Aetobatus narinari,18.35072,-67.26688
227,Aetobatus narinari,18.16517,-67.27524
228,Aetobatus narinari,18.16517,-67.27524
229,Aetobatus narinari,18.34732,-67.26997
230,Aetobatus narinari,18.34732,-67.26997
231,Aetobatus narinari,18.34652,-67.27118
232,Aetobatus narinari,18.16637,-67.27632
233,Aetobatus narinari,18.34652,-67.27118
234,Aetobatus narinari,18.16517,-67.27524
235,Aetobatus narinari,18.34652,-67.27118
236,Aetobatus narinari,18.16304,-67.27367
237,Aetobatus narinari,18.16304,-67.27367
238,Aetobatus narinari,18.34732,-67.26997
239,Aetobatus narinari,18.35072,-67.26688
240,Aetobatus narinari,18.34652,-67.27118
241,Aetobatus narinari,18.16304,-67.27367
242,Aetobatus narinari,18.16517,-67.27524
243,Aetobatus narinari,18.16637,-67.27632
244,Aetobatus narinari,18.16637,-67.27632
245,Aetobatus narinari,18.35072,-67.26688
246,Aetobatus narinari,18.35072,-67.26688
247,Aetobatus narinari,18.16304,-67.27367
248,Aetobatus narinari,18.16304,-67.27367
249,Aetobatus narinari,18.16304,-67.27367
250,Aetobatus narinari,18.16304,-67.27367
251,Aetobatus narinari,18.16517,-67.27524
252,Aetobatus narinari,18.16517,-67.27524
253,Aetobatus narinari,18.16517,-67.27524
254,Aetobatus narinari,18.16517,-67.27524
255,Aetobatus narinari,18.16637,-67.27632
256,Aetobatus narinari,18.16637,-67.27632
257,Aetobatus narinari,18.16637,-67.27632
258,Aetobatus narinari,18.35072,-67.26688
259,Aetobatus narinari,18.35072,-67.26688
260,Aetobatus narinari,18.16304,-67.27367
261,Aetobatus narinari,18.16304,-67.27367
262,Aetobatus narinari,18.16304,-67.27367
263,Aetobatus narinari,18.16517,-67.27524
264,Aetobatus narinari,18.16517,-67.27524
265,Aetobatus narinari,18.16517,-67.27524
266,Aetobatus narinari,18.16637,-67.27632
267,Aetobatus narinari,18.16637,-67.27632
268,Aetobatus narinari,18.35072,-67.26688
269,Aetobatus narinari,18.34732,-67.26997
270,Aetobatus narinari,18.16517,-67.27524
271,Aetobatus narinari,18.16517,-67.27524
272,Aetobatus narinari,18.35072,-67.26688
273,Aetobatus narinari,18.16304,-67.27367
274,Aetobatus narinari,18.16517,-67.27524
275,Aetobatus narinari,18.16637,-67.27632
276,Aetobatus narinari,18.34732,-67.26997
277,Aetobatus narinari,18.34732,-67.26997
278,Aetobatus narinari,18.34652,-67.27118
279,Aetobatus narinari,18.34652,-67.27118
280,Aetobatus narinari,18.35072,-67.26688
281,Aetobatus narinari,18.35072,-67.26688
282,Aetobatus narinari,18.35072,-67.26688
283,Aetobatus narinari,18.35072,-67.26688
284,Aetobatus narinari,18.16517,-67.27524
285,Aetobatus narinari,18.16637,-67.27632
286,Aetobatus narinari,18.16637,-67.27632
287,Aetobatus narinari,18.34652,-67.27118
288,Aetobatus narinari,18.35072,-67.26688
289,Aetobatus narinari,18.35072,-67.26688
290,Aetobatus narinari,18.35072,-67.26688
291,Aetobatus narinari,18.16304,-67.27367
292,Aetobatus narinari,18.16517,-67.27524
293,Aetobatus narinari,18.16517,-67.27524
294,Aetobatus narinari,18.16637,-67.27632
295,Aetobatus narinari,18.16637,-67.27632
296,Aetobatus narinari,18.34732,-67.26997
297,Aetobatus narinari,18.34652,-67.27118
298,Aetobatus narinari,18.34652,-67.27118
299,Aetobatus narinari,18.34732,-67.26997
300,Aetobatus narinari,18.34732,-67.26997
301,Aetobatus narinari,18.34652,-67.27118
302,Aetobatus narinari,18.34652,-67.27118
303,Aetobatus narinari,18.34652,-67.27118
304,Aetobatus narinari,18.34652,-67.27118
305,Aetobatus narinari,18.16304,-67.27367
306,Aetobatus narinari,18.16304,-67.27367
307,Aetobatus narinari,18.16304,-67.27367
308,Aetobatus narinari,18.16517,-67.27524
309,Aetobatus narinari,18.16517,-67.27524
310,Aetobatus narinari,18.16517,-67.27524
311,Aetobatus narinari,18.16517,-67.27524
312,Aetobatus narinari,18.16637,-67.27632
313,Aetobatus narinari,18.16637,-67.27632
314,Aetobatus narinari,18.16637,-67.27632
315,Aetobatus narinari,18.16637,-67.27632
316,Aetobatus narinari,18.34732,-67.26997
317,Aetobatus narinari,18.35072,-67.26688
318,Aetobatus narinari,18.16637,-67.27632
319,Aetobatus narinari,18.16304,-67.27367
320,Aetobatus narinari,18.16517,-67.27524
321,Aetobatus narinari,18.16517,-67.27524
322,Aetobatus narinari,18.16637,-67.27632
323,Aetobatus narinari,18.16637,-67.27632
324,Aetobatus narinari,18.16637,-67.27632
325,Aetobatus narinari,18.34652,-67.27118
326,Aetobatus narinari,18.35072,-67.26688
327,Aetobatus narinari,18.35072,-67.26688
328,Aetobatus narinari,18.35072,-67.26688
329,Aetobatus narinari,18.16304,-67.27367
330,Aetobatus narinari,18.35072,-67.26688
331,Aetobatus narinari,18.16304,-67.27367
332,Aetobatus narinari,18.16304,-67.27367
333,Aetobatus narinari,18.16304,-67.27367
334,Aetobatus narinari,18.16517,-67.27524
335,Aetobatus narinari,18.16517,-67.27524
336,Aetobatus narinari,18.16637,-67.27632
337,Aetobatus narinari,18.35072,-67.26688
338,Aetobatus narinari,18.35072,-67.26688
339,Aetobatus narinari,18.35072,-67.26688
340,Aetobatus narinari,18.34732,-67.26997
341,Aetobatus narinari,18.34732,-67.26997
342,Aetobatus narinari,18.34732,-67.26997
343,Aetobatus narinari,18.34652,-67.27118
344,Aetobatus narinari,18.34652,-67.27118
345,Aetobatus narinari,18.34652,-67.27118
346,Aetobatus narinari,18.16637,-67.27632
347,Aetobatus narinari,18.34652,-67.27118
348,Aetobatus narinari,18.16304,-67.27367
349,Aetobatus narinari,18.34652,-67.27118
350,Aetobatus narinari,18.34732,-67.26997
351,Aetobatus narinari,18.34652,-67.27118
352,Aetobatus narinari,18.34732,-67.26997
353,Aetobatus narinari,18.34732,-67.26997
354,Aetobatus narinari,18.34732,-67.26997
355,Aetobatus narinari,18.34732,-67.26997
356,Aetobatus narinari,18.34652,-67.27118
357,Aetobatus narinari,18.34652,-67.27118
358,Aetobatus narinari,18.34652,-67.27118
359,Aetobatus narinari,18.34652,-67.27118
360,Aetobatus narinari,18.16517,-67.27524
361,Aetobatus narinari,18.16637,-67.27632
362,Aetobatus narinari,18.16517,-67.27524
363,Aetobatus narinari,18.35072,-67.26688
364,Aetobatus narinari,18.16304,-67.27367
365,Aetobatus narinari,18.35072,-67.26688
366,Aetobatus narinari,18.16304,-67.27367
367,Aetobatus narinari,18.16517,-67.27524
368,Aetobatus narinari,18.16637,-67.27632
369,Aetobatus narinari,18.34652,-67.27118
370,Aetobatus narinari,18.16637,-67.27632
371,Aetobatus narinari,18.16637,-67.27632
372,Aetobatus narinari,18.35072,-67.26688
373,Aetobatus narinari,18.35072,-67.26688
374,Aetobatus narinari,18.16304,-67.27367
375,Aetobatus narinari,18.16637,-67.27632
376,Aetobatus narinari,18.16304,-67.27367
377,Aetobatus narinari,18.16304,-67.27367
378,Aetobatus narinari,18.16517,-67.27524
379,Aetobatus narinari,18.16304,-67.27367
380,Aetobatus narinari,18.35072,-67.26688
381,Aetobatus narinari,18.35072,-67.26688
382,Aetobatus narinari,18.35072,-67.26688
383,Aetobatus narinari,18.34732,-67.26997
384,Aetobatus narinari,18.16304,-67.27367
385,Aetobatus narinari,18.16304,-67.27367
386,Aetobatus narinari,18.16517,-67.27524
387,Aetobatus narinari,18.16637,-67.27632
388,Aetobatus narinari,18.34652,-67.27118
389,Aetobatus narinari,18.16304,-67.27367
390,Aetobatus narinari,18.16304,-67.27367
391,Aetobatus narinari,18.16304,-67.27367
392,Aetobatus narinari,18.16517,-67.27524
393,Aetobatus narinari,18.16637,-67.27632
394,Aetobatus narinari,18.16637,-67.27632
395,Aetobatus narinari,18.35072,-67.26688
396,Aetobatus narinari,18.34732,-67.26997
397,Aetobatus narinari,18.34732,-67.26997
398,Aetobatus narinari,18.34732,-67.26997
399,Aetobatus narinari,18.34732,-67.26997
400,Aetobatus narinari,18.34652,-67.27118
401,Aetobatus narinari,18.34652,-67.27118
402,Aetobatus narinari,18.34652,-67.27118
403,Aetobatus narinari,18.16304,-67.27367
404,Aetobatus narinari,18.16304,-67.27367
405,Aetobatus narinari,18.16304,-67.27367
406,Aetobatus narinari,18.16304,-67.27367
407,Aetobatus narinari,18.16517,-67.27524
408,Aetobatus narinari,18.16517,-67.27524
409,Aetobatus narinari,18.16517,-67.27524
410,Aetobatus narinari,18.16637,-67.27632
411,Aetobatus narinari,18.16637,-67.27632
412,Aetobatus narinari,18.16637,-67.27632
413,Aetobatus narinari,18.35072,-67.26688
414,Aetobatus narinari,18.35072,-67.26688
415,Aetobatus narinari,18.34732,-67.26997
416,Aetobatus narinari,18.34732,-67.26997
417,Aetobatus narinari,18.34732,-67.26997
418,Aetobatus narinari,18.34732,-67.26997
419,Aetobatus narinari,18.34652,-67.27118
420,Aetobatus narinari,18.34732,-67.26997
421,Aetobatus narinari,18.34732,-67.26997
422,Aetobatus narinari,18.34652,-67.27118
423,Aetobatus narinari,18.34732,-67.26997
424,Aetobatus narinari,18.34732,-67.26997
425,Aetobatus narinari,18.34652,-67.27118
426,Aetobatus narinari,18.34652,-67.27118
427,Aetobatus narinari,18.34652,-67.27118
428,Aetobatus narinari,18.16517,-67.27524
429,Aetobatus narinari,18.16637,-67.27632
430,Aetobatus narinari,18.35072,-67.26688
431,Aetobatus narinari,18.34732,-67.26997
432,Aetobatus narinari,18.34652,-67.27118
433,Aetobatus narinari,18.16517,-67.27524
434,Aetobatus narinari,18.16637,-67.27632
435,Aetobatus narinari,18.35072,-67.26688
436,Aetobatus narinari,18.35072,-67.26688
437,Aetobatus narinari,18.34732,-67.26997
438,Aetobatus narinari,18.34652,-67.27118
439,Aetobatus narinari,18.16517,-67.27524
440,Aetobatus narinari,18.35072,-67.26688
441,Aetobatus narinari,18.16304,-67.27367
442,Aetobatus narinari,18.16304,-67.27367
443,Aetobatus narinari,18.16517,-67.27524
444,Aetobatus narinari,18.16517,-67.27524
445,Aetobatus narinari,18.16517,-67.27524
446,Aetobatus narinari,18.16637,-67.27632
447,Aetobatus narinari,18.16637,-67.27632
448,Aetobatus narinari,18.16637,-67.27632
449,Aetobatus narinari,18.16637,-67.27632
450,Aetobatus narinari,18.34732,-67.26997
451,Aetobatus narinari,18.35072,-67.26688
452,Aetobatus narinari,18.35072,-67.26688
453,Aetobatus narinari,18.16637,-67.27632
454,Aetobatus narinari,18.35072,-67.26688
455,Aetobatus narinari,18.35072,-67.26688
456,Aetobatus narinari,18.35072,-67.26688
457,Aetobatus narinari,18.35072,-67.26688
458,Aetobatus narinari,18.35072,-67.26688
459,Aetobatus narinari,18.35072,-67.26688
460,Aetobatus narinari,18.16304,-67.27367
461,Aetobatus narinari,18.16304,-67.27367
462,Aetobatus narinari,18.16517,-67.27524
463,Aetobatus narinari,18.16517,-67.27524
464,Aetobatus narinari,18.16637,-67.27632
465,Aetobatus narinari,18.34652,-67.27118
466,Aetobatus narinari,18.34652,-67.27118
467,Aetobatus narinari,18.16304,-67.27367
468,Aetobatus narinari,18.16517,-67.27524
469,Aetobatus narinari,18.34732,-67.26997
470,Aetobatus narinari,18.34732,-67.26997
471,Aetobatus narinari,18.34732,-67.26997
472,Aetobatus narinari,18.34732,-67.26997
473,Aetobatus narinari,18.34732,-67.26997
474,Aetobatus narinari,18.34652,-67.27118
475,Aetobatus narinari,18.34652,-67.27118
476,Aetobatus narinari,18.34732,-67.26997
477,Aetobatus narinari,18.34652,-67.27118
478,Aetobatus narinari,18.34732,-67.26997
479,Aetobatus narinari,18.34732,-67.26997
480,Aetobatus narinari,18.34652,-67.27118
481,Aetobatus narinari,18.34652,-67.27118
482,Aetobatus narinari,18.16304,-67.27367
483,Aetobatus narinari,18.16517,-67.27524
484,Aetobatus narinari,18.16637,-67.27632
485,Aetobatus narinari,18.16304,-67.27367
486,Aetobatus narinari,18.16304,-67.27367
487,Aetobatus narinari,18.16517,-67.27524
488,Aetobatus narinari,18.16637,-67.27632
489,Aetobatus narinari,18.34732,-67.26997
490,Aetobatus narinari,18.34652,-67.27118
491,Aetobatus narinari,18.34732,-67.26997
492,Aetobatus narinari,18.34652,-67.27118
493,Aetobatus narinari,18.34732,-67.26997
494,Amphiprion ocellaris,2.809597,104.132181
495,Forcipiger flavissimus,13.52451,144.802962
496,Amphiprion ocellaris,4.384239,113.942531
497,Amphiprion ocellaris,9.187881,123.265405
498,Aetobatus narinari,18.292653,-64.792258
499,Amphiprion ocellaris,2.809539,104.135172
500,Forcipiger flavissimus,20.999905,-156.667884
501,Amphiprion ocellaris,5.897502,102.737033
502,Aetobatus narinari,19.659728,-80.00727
503,Hippocampus kuda,9.186041,123.268218
504,Forcipiger flavissimus,-16.426771,145.868916
505,Forcipiger flavissimus,-17.47761,-149.94006
506,Hippocampus kuda,9.187611,123.265534
507,Aetobatus narinari,17.89755,-66.95998
